,season,day,landscape,year,method,wolf_seen
3947,summer,sat,mountains,1985,human,False
4198,winter,fri,mountains,1985,human,False
3061,autumn,sun,mountains,1985,human,False
3291,summer,tue,forest,1985,human,False
10,winter,mon,hills,1985,robot-spy,True
1409,autumn,fri,mountains,1985,human,False
4766,winter,sat,grasslands,1985,human,False
4359,autumn,sun,grasslands,1985,robot-spy,False
155,summer,wed,grasslands,1985,human,True
4421,spring,wed,forest,1985,human,False
1420,summer,sat,mountains,1985,robot-spy,False
1936,winter,fri,forest,1985,human,False
2813,spring,thu,forest,1985,human,False
4399,winter,sat,hills,1985,robot-spy,False
1449,autumn,sun,grasslands,1985,human,False
574,autumn,tue,hills,1985,human,True
2513,summer,thu,grasslands,1985,robot-spy,False
4843,spring,sat,grasslands,1985,human,False
3760,summer,thu,hills,1985,drone,False
1089,autumn,tue,hills,1985,robot-spy,False
2493,autumn,thu,grasslands,1985,human,False
5010,winter,wed,mountains,1985,human,False
4598,winter,wed,mountains,1985,robot-spy,False
3910,summer,mon,mountains,1985,drone,False
335,spring,sun,mountains,1985,robot-spy,True
3198,spring,sun,grasslands,1985,human,False
4985,winter,mon,forest,1985,human,False
1808,spring,thu,mountains,1986,human,False
3511,spring,sat,grasslands,1986,robot-spy,False
1348,spring,sat,forest,1986,robot-spy,False
3463,autumn,thu,hills,1986,human,False
2483,spring,tue,grasslands,1986,robot-spy,False
1780,winter,fri,mountains,1986,human,False
854,spring,thu,mountains,1986,human,False
187,winter,fri,grasslands,1986,human,True
687,winter,thu,grasslands,1986,robot-spy,True
4183,spring,wed,forest,1986,robot-spy,False
5132,autumn,tue,forest,1986,human,False
2529,summer,fri,mountains,1986,robot-spy,False
2530,autumn,mon,mountains,1986,human,False
3811,summer,fri,hills,1986,human,False
489,winter,sat,hills,1986,human,True
2932,summer,tue,hills,1986,human,False
150,winter,tue,grasslands,1986,robot-spy,True
2181,summer,wed,forest,1986,robot-spy,False
4012,spring,mon,hills,1986,human,False
1826,winter,wed,grasslands,1986,human,False
1904,summer,thu,mountains,1986,human,False
4094,winter,thu,hills,1986,robot-spy,False
4408,spring,sun,mountains,1986,robot-spy,False
1705,autumn,tue,hills,1986,human,False
1591,summer,wed,hills,1986,robot-spy,False
965,spring,thu,hills,1986,human,False
4720,autumn,wed,mountains,1986,drone,False
1286,spring,tue,forest,1987,human,False
926,winter,thu,hills,1987,human,False
503,autumn,fri,grasslands,1987,robot-spy,True
4138,autumn,wed,mountains,1987,human,False
2510,spring,tue,mountains,1987,robot-spy,False
799,autumn,mon,forest,1987,robot-spy,False
1869,winter,fri,mountains,1987,human,False
1134,spring,mon,grasslands,1987,human,False
4025,summer,fri,forest,1987,robot-spy,False
3111,spring,thu,hills,1987,human,False
4197,summer,tue,mountains,1987,human,False
961,spring,tue,mountains,1987,human,False
4628,spring,sun,forest,1987,human,False
197,spring,fri,hills,1987,human,True
3720,autumn,sat,mountains,1987,human,False
2390,autumn,sun,grasslands,1987,robot-spy,False
3335,summer,mon,grasslands,1987,robot-spy,False
1483,winter,mon,forest,1987,human,False
2132,summer,sat,grasslands,1987,human,False
3318,summer,fri,grasslands,1987,robot-spy,False
2039,summer,sun,forest,1987,robot-spy,False
887,autumn,mon,forest,1987,human,False
2193,spring,mon,forest,1987,human,False
173,spring,thu,mountains,1987,human,True
2915,winter,wed,grasslands,1987,robot-spy,False
2373,summer,sun,forest,1987,robot-spy,False
3894,summer,fri,forest,1987,human,False
4357,summer,sat,grasslands,1987,human,False
4377,spring,thu,grasslands,1987,human,False
983,autumn,mon,forest,1987,human,False
1760,spring,sun,grasslands,1987,robot-spy,False
3188,winter,sat,forest,1987,human,False
830,winter,wed,grasslands,1987,human,False
2469,autumn,wed,grasslands,1987,human,False
1769,spring,thu,hills,1987,robot-spy,False
4869,summer,fri,grasslands,1987,robot-spy,False
4410,spring,sun,forest,1987,human,False
4844,winter,sun,forest,1987,human,False
1041,winter,wed,hills,1987,human,False
2908,autumn,tue,mountains,1987,human,False
3886,winter,sun,forest,1987,human,False
5042,spring,mon,grasslands,1987,robot-spy,False
3850,winter,sun,mountains,1987,robot-spy,False
221,winter,thu,mountains,1988,human,True
2134,autumn,wed,hills,1988,human,False
4834,summer,sun,grasslands,1988,human,False
2569,spring,mon,forest,1988,human,False
2365,autumn,mon,mountains,1988,human,False
4942,autumn,sat,grasslands,1988,robot-spy,False
1284,summer,sun,hills,1988,robot-spy,False
3398,summer,fri,grasslands,1988,robot-spy,False
1434,autumn,tue,grasslands,1988,drone,False
908,autumn,wed,grasslands,1988,robot-spy,False
1539,winter,sat,hills,1988,human,False
3813,summer,mon,grasslands,1988,human,False
5087,spring,sun,grasslands,1988,human,False
2185,spring,sun,forest,1988,robot-spy,False
2749,autumn,sat,mountains,1988,human,False
431,winter,wed,grasslands,1988,human,True
1050,summer,tue,mountains,1988,human,False
2306,autumn,thu,forest,1988,human,False
1519,summer,fri,mountains,1988,human,False
2293,autumn,mon,mountains,1988,robot-spy,False
2512,autumn,thu,grasslands,1988,human,False
366,winter,thu,forest,1988,robot-spy,True
1221,spring,sat,mountains,1988,robot-spy,False
3835,summer,fri,mountains,1988,drone,False
3431,summer,thu,forest,1988,robot-spy,False
3543,autumn,mon,mountains,1988,human,False
117,autumn,sat,mountains,1988,robot-spy,True
2579,spring,mon,mountains,1988,robot-spy,False
2818,winter,wed,mountains,1988,robot-spy,False
2916,summer,fri,grasslands,1988,human,False
3292,autumn,mon,hills,1988,human,False
176,winter,mon,mountains,1988,robot-spy,True
314,autumn,tue,mountains,1988,human,True
3053,autumn,fri,mountains,1988,robot-spy,False
2495,autumn,thu,hills,1988,robot-spy,False
1190,autumn,sat,grasslands,1988,human,False
4296,summer,fri,forest,1988,human,False
1486,autumn,thu,mountains,1988,robot-spy,False
831,summer,thu,forest,1988,robot-spy,False
2762,autumn,sat,forest,1988,human,False
2481,spring,fri,mountains,1988,robot-spy,False
4662,summer,wed,grasslands,1988,human,False
3049,spring,thu,grasslands,1988,human,False
863,autumn,thu,grasslands,1988,human,False
1885,winter,fri,grasslands,1988,drone,False
4498,autumn,tue,forest,1988,human,False
2270,spring,mon,mountains,1988,robot-spy,False
3870,spring,sat,forest,1988,human,False
1316,summer,sat,grasslands,1988,human,False
1905,autumn,tue,hills,1988,human,False
1222,summer,sat,hills,1988,robot-spy,False
2856,autumn,wed,mountains,1988,human,False
4510,spring,sat,hills,1988,robot-spy,False
535,autumn,fri,hills,1988,robot-spy,True
4150,spring,wed,forest,1988,robot-spy,False
2388,autumn,sat,forest,1988,human,False
838,autumn,sat,forest,1988,human,False
2763,summer,tue,grasslands,1988,human,False
1177,spring,wed,hills,1988,human,False
3306,spring,sun,grasslands,1988,human,False
3081,winter,sat,mountains,1988,human,False
4639,winter,sat,hills,1988,drone,False
4954,summer,thu,forest,1989,human,False
792,spring,thu,mountains,1989,robot-spy,True
2385,autumn,fri,forest,1989,human,False
3860,summer,sat,forest,1989,drone,False
2302,winter,sun,mountains,1989,human,False
1266,autumn,mon,mountains,1989,human,False
2312,summer,mon,forest,1989,human,False
1513,spring,wed,forest,1989,human,False
3183,spring,thu,mountains,1989,human,False
2887,spring,thu,mountains,1989,robot-spy,False
4982,autumn,fri,hills,1989,human,False
851,summer,fri,forest,1989,human,False
2413,spring,thu,mountains,1989,human,False
4609,winter,fri,grasslands,1989,robot-spy,False
5024,autumn,mon,hills,1989,robot-spy,False
900,spring,mon,hills,1989,human,False
3624,winter,mon,grasslands,1989,human,False
2412,summer,sun,hills,1989,robot-spy,False
3249,summer,tue,forest,1989,human,False
2268,autumn,mon,forest,1989,human,False
4151,winter,thu,hills,1989,human,False
1300,autumn,tue,mountains,1989,robot-spy,False
1628,summer,sun,grasslands,1989,robot-spy,False
2570,spring,sun,grasslands,1989,human,False
1927,autumn,tue,hills,1989,human,False
1665,autumn,sat,mountains,1989,human,False
183,winter,wed,grasslands,1989,human,True
486,summer,wed,grasslands,1989,robot-spy,True
1332,spring,tue,hills,1989,human,False
4487,autumn,fri,grasslands,1989,robot-spy,False
1841,winter,sat,forest,1989,human,False
836,autumn,thu,hills,1989,robot-spy,False
3034,spring,wed,hills,1989,human,False
4744,winter,sat,mountains,1989,human,False
3051,spring,wed,hills,1989,human,False
3262,autumn,sat,grasslands,1989,human,False
4366,autumn,wed,grasslands,1989,human,False
4432,winter,thu,forest,1989,human,False
4380,autumn,wed,forest,1989,robot-spy,False
4381,autumn,sat,forest,1989,human,False
1185,winter,tue,hills,1989,human,False
4134,spring,mon,forest,1989,human,False
4106,autumn,tue,grasslands,1989,robot-spy,False
1943,autumn,mon,mountains,1989,human,False
5153,autumn,mon,grasslands,1989,human,False
5093,autumn,mon,forest,1989,human,False
845,winter,wed,grasslands,1989,human,False
4590,autumn,wed,hills,1989,robot-spy,False
1256,winter,wed,forest,1989,robot-spy,False
2222,winter,sun,forest,1989,human,False
4717,spring,sun,mountains,1989,robot-spy,False
3965,winter,thu,hills,1989,human,False
902,spring,sun,grasslands,1989,human,False
4006,spring,fri,grasslands,1989,robot-spy,False
4737,winter,tue,forest,1989,human,False
4008,summer,sun,hills,1989,robot-spy,False
750,autumn,wed,mountains,1989,human,True
1569,winter,thu,grasslands,1989,human,False
1554,autumn,tue,mountains,1989,drone,False
2559,winter,thu,mountains,1989,human,False
430,winter,fri,hills,1989,human,True
3432,winter,thu,forest,1990,human,False
3414,spring,fri,mountains,1990,robot-spy,False
1101,winter,fri,grasslands,1990,robot-spy,False
390,spring,fri,mountains,1990,human,True
2564,winter,fri,hills,1990,human,False
3202,winter,wed,forest,1990,human,False
63,winter,wed,hills,1990,human,True
3271,winter,mon,hills,1990,human,False
1,winter,mon,mountains,1990,robot-spy,True
3539,summer,mon,forest,1990,human,False
2679,summer,sun,hills,1990,drone,False
2613,autumn,mon,hills,1990,human,False
2648,summer,sun,hills,1990,human,False
2745,summer,fri,mountains,1990,robot-spy,False
3501,winter,mon,grasslands,1990,robot-spy,False
968,winter,mon,grasslands,1990,human,False
4,winter,thu,hills,1990,human,True
4569,winter,sun,forest,1990,human,False
2208,summer,fri,forest,1990,human,False
3966,winter,tue,mountains,1990,human,False
1265,autumn,thu,hills,1990,human,False
427,spring,fri,hills,1990,robot-spy,True
109,autumn,sun,forest,1990,human,True
4013,summer,fri,mountains,1990,human,False
4019,autumn,tue,forest,1990,robot-spy,False
3040,winter,fri,hills,1990,robot-spy,False
4063,autumn,sun,mountains,1990,human,False
3014,winter,fri,hills,1990,human,False
2161,summer,tue,mountains,1990,human,False
4087,autumn,wed,grasslands,1990,robot-spy,False
3253,winter,wed,hills,1990,robot-spy,False
1595,summer,sat,grasslands,1990,robot-spy,False
4226,autumn,tue,forest,1990,human,False
1636,summer,mon,grasslands,1990,human,False
122,autumn,mon,hills,1990,robot-spy,True
4503,winter,fri,grasslands,1990,human,False
1873,autumn,mon,grasslands,1990,human,False
1673,summer,sat,hills,1990,robot-spy,False
439,winter,tue,grasslands,1990,human,True
796,autumn,thu,mountains,1990,robot-spy,False
1853,summer,mon,hills,1990,human,False
2803,spring,tue,hills,1990,robot-spy,False
2251,autumn,fri,forest,1990,robot-spy,False
456,autumn,mon,mountains,1990,human,True
712,winter,wed,grasslands,1990,robot-spy,True
2466,autumn,wed,forest,1990,human,False
4442,autumn,wed,hills,1990,human,False
2462,winter,wed,grasslands,1990,human,False
2449,autumn,tue,grasslands,1990,robot-spy,False
92,autumn,mon,grasslands,1990,human,True
3704,autumn,wed,grasslands,1990,robot-spy,False
3156,autumn,wed,forest,1990,human,False
1730,autumn,sun,grasslands,1990,human,False
3783,summer,thu,forest,1990,human,False
2321,spring,tue,grasslands,1990,human,False
4599,autumn,mon,mountains,1990,human,False
2800,spring,wed,grasslands,1990,human,False
1525,winter,sun,mountains,1990,robot-spy,False
2279,summer,tue,mountains,1990,robot-spy,False
2260,spring,tue,forest,1990,robot-spy,False
3895,summer,sat,hills,1990,human,False
3126,spring,thu,forest,1990,robot-spy,False
1402,summer,tue,forest,1990,robot-spy,False
1158,spring,wed,grasslands,1990,human,False
3078,winter,sat,mountains,1990,robot-spy,False
2646,summer,wed,mountains,1991,robot-spy,False
464,winter,sun,grasslands,1991,human,True
2758,spring,mon,grasslands,1991,human,False
3090,winter,sat,hills,1991,robot-spy,False
3106,winter,tue,forest,1991,human,False
2867,spring,sun,hills,1991,human,False
3203,summer,thu,forest,1991,human,False
419,winter,tue,mountains,1991,robot-spy,True
3166,winter,thu,forest,1991,robot-spy,False
2990,winter,fri,hills,1991,robot-spy,False
5125,winter,sun,grasslands,1991,human,False
3230,autumn,sat,hills,1991,robot-spy,False
5138,winter,tue,grasslands,1991,human,False
4791,spring,sun,mountains,1991,robot-spy,False
3288,summer,tue,forest,1991,human,False
2253,winter,mon,hills,1991,human,False
648,spring,mon,hills,1991,robot-spy,True
1009,spring,thu,forest,1991,robot-spy,False
1223,autumn,sat,forest,1991,robot-spy,False
807,spring,tue,forest,1991,human,False
2139,summer,sat,mountains,1991,robot-spy,False
2114,winter,wed,mountains,1991,human,False
2097,winter,sun,mountains,1991,robot-spy,False
4225,summer,sat,hills,1991,human,False
893,autumn,wed,grasslands,1991,human,False
4848,summer,fri,forest,1991,human,False
4395,spring,thu,grasslands,1991,robot-spy,False
4397,winter,thu,forest,1991,human,False
1617,winter,sun,forest,1991,human,False
754,summer,tue,hills,1991,human,True
1545,summer,mon,mountains,1991,human,False
760,spring,fri,mountains,1991,human,True
4654,winter,tue,hills,1991,human,False
1214,winter,thu,grasslands,1991,human,False
1485,spring,tue,grasslands,1991,human,False
774,winter,wed,forest,1991,robot-spy,True
1455,winter,sat,mountains,1991,human,False
4757,summer,tue,grasslands,1991,human,False
1160,winter,fri,mountains,1991,robot-spy,False
2318,winter,wed,forest,1991,human,False
2166,spring,sun,mountains,1991,robot-spy,False
3714,spring,sat,hills,1991,robot-spy,False
3586,autumn,mon,grasslands,1991,drone,False
3594,winter,mon,hills,1991,human,False
2491,winter,tue,grasslands,1991,human,False
3372,autumn,tue,hills,1991,human,False
541,winter,tue,mountains,1991,robot-spy,True
603,winter,thu,grasslands,1991,robot-spy,True
3374,summer,wed,grasslands,1991,human,False
3580,autumn,sun,mountains,1991,robot-spy,False
3520,winter,tue,hills,1991,human,False
2637,autumn,sun,forest,1991,human,False
2511,summer,thu,forest,1991,human,False
3436,spring,sat,mountains,1991,human,False
524,autumn,fri,grasslands,1991,human,True
601,winter,wed,mountains,1991,human,True
3759,spring,fri,mountains,1991,human,False
1202,spring,sat,mountains,1992,human,False
1234,autumn,wed,forest,1992,robot-spy,False
1107,spring,wed,hills,1992,human,False
2750,spring,thu,grasslands,1992,human,False
1566,winter,tue,hills,1992,human,False
813,autumn,sat,mountains,1992,human,False
773,spring,wed,hills,1992,human,True
2572,autumn,fri,forest,1992,human,False
785,winter,fri,hills,1992,robot-spy,True
2925,summer,wed,hills,1992,human,False
1129,autumn,fri,grasslands,1992,robot-spy,False
2528,winter,sat,mountains,1992,robot-spy,False
1838,spring,wed,grasslands,1992,human,False
1716,summer,sun,hills,1992,robot-spy,False
2262,spring,sat,mountains,1992,human,False
2352,spring,sat,hills,1992,human,False
2237,spring,mon,mountains,1992,human,False
2186,winter,wed,mountains,1992,human,False
2372,summer,wed,grasslands,1992,human,False
2643,autumn,mon,mountains,1992,human,False
1707,summer,fri,grasslands,1992,robot-spy,False
2397,summer,wed,grasslands,1992,human,False
1169,summer,wed,forest,1992,robot-spy,False
2459,autumn,thu,grasslands,1992,human,False
1937,summer,fri,hills,1992,human,False
1918,winter,sat,mountains,1992,human,False
1859,autumn,mon,forest,1992,human,False
1852,autumn,sun,mountains,1992,human,False
2150,summer,wed,mountains,1992,human,False
625,winter,thu,forest,1992,human,True
3193,autumn,sun,hills,1992,robot-spy,False
4565,summer,mon,mountains,1992,human,False
3145,autumn,sat,forest,1992,robot-spy,False
4578,spring,sun,mountains,1992,robot-spy,False
956,summer,mon,grasslands,1992,robot-spy,False
3380,spring,sat,hills,1992,human,False
408,winter,thu,hills,1992,human,True
1071,spring,sat,grasslands,1992,robot-spy,False
4149,spring,wed,hills,1992,human,False
4582,summer,sat,mountains,1992,human,False
4379,autumn,thu,hills,1992,human,False
4152,autumn,thu,grasslands,1992,drone,False
1053,spring,tue,hills,1992,robot-spy,False
4740,spring,tue,hills,1992,human,False
3360,autumn,thu,grasslands,1992,human,False
4862,winter,tue,forest,1992,human,False
3840,summer,sat,grasslands,1992,robot-spy,False
4174,summer,thu,forest,1992,human,False
3818,winter,thu,grasslands,1992,human,False
199,winter,sat,forest,1992,human,True
962,spring,sun,hills,1992,human,False
284,autumn,tue,forest,1992,human,True
3804,summer,wed,grasslands,1992,human,False
381,winter,wed,hills,1992,robot-spy,True
4686,summer,sat,mountains,1992,robot-spy,False
892,winter,mon,mountains,1992,robot-spy,False
3769,autumn,wed,mountains,1992,robot-spy,False
4274,spring,sun,forest,1992,human,False
3303,winter,mon,forest,1992,human,False
4671,winter,mon,grasslands,1992,human,False
4730,summer,mon,mountains,1992,robot-spy,False
43,winter,wed,grasslands,1992,human,True
3762,winter,wed,mountains,1992,robot-spy,False
4563,spring,thu,grasslands,1992,human,False
2938,autumn,fri,mountains,1992,robot-spy,False
6,winter,tue,grasslands,1992,human,True
5119,summer,wed,forest,1992,human,False
5097,summer,wed,mountains,1992,human,False
3556,summer,thu,forest,1992,robot-spy,False
4062,spring,mon,hills,1992,human,False
3003,summer,mon,grasslands,1992,robot-spy,False
4536,winter,mon,forest,1992,robot-spy,False
3012,winter,wed,grasslands,1992,drone,False
3024,spring,sat,forest,1992,human,False
4076,winter,sun,mountains,1992,human,False
4951,winter,thu,mountains,1992,robot-spy,False
4431,spring,tue,hills,1992,robot-spy,False
4080,summer,wed,forest,1992,human,False
3963,autumn,sat,hills,1992,human,False
1013,autumn,sun,forest,1992,robot-spy,False
4479,summer,fri,grasslands,1992,robot-spy,False
3672,autumn,sat,mountains,1992,robot-spy,False
948,autumn,wed,mountains,1992,human,False
3918,summer,sun,hills,1992,robot-spy,False
3690,autumn,mon,forest,1992,human,False
3474,winter,tue,grasslands,1992,robot-spy,False
35,spring,thu,hills,1992,robot-spy,True
1016,spring,mon,hills,1992,human,False
4555,autumn,thu,hills,1992,robot-spy,False
3722,spring,tue,mountains,1993,robot-spy,False
4446,autumn,fri,forest,1993,human,False
829,autumn,tue,hills,1993,robot-spy,False
713,winter,tue,hills,1993,human,True
4374,spring,sun,grasslands,1993,robot-spy,False
4477,autumn,sat,grasslands,1993,robot-spy,False
4378,autumn,tue,mountains,1993,human,False
4485,winter,mon,grasslands,1993,human,False
1733,summer,tue,grasslands,1993,robot-spy,False
1229,autumn,wed,forest,1993,human,False
4172,autumn,wed,grasslands,1993,human,False
3763,winter,mon,hills,1993,human,False
2184,spring,sun,grasslands,1993,human,False
4070,spring,tue,grasslands,1993,human,False
247,autumn,thu,mountains,1993,human,True
3931,spring,mon,grasslands,1993,human,False
2229,winter,tue,hills,1993,human,False
1161,summer,tue,grasslands,1993,human,False
634,spring,wed,mountains,1993,robot-spy,True
2239,spring,fri,mountains,1993,human,False
3909,winter,sun,grasslands,1993,human,False
2242,autumn,tue,hills,1993,human,False
2109,summer,mon,hills,1993,robot-spy,False
4277,winter,fri,mountains,1993,human,False
1017,spring,mon,hills,1993,human,False
2043,spring,fri,hills,1993,human,False
621,winter,thu,forest,1993,human,True
4147,spring,wed,forest,1993,robot-spy,False
3873,summer,wed,hills,1993,human,False
2024,spring,fri,grasslands,1993,human,False
1973,autumn,wed,grasslands,1993,human,False
4167,winter,sat,forest,1993,human,False
3650,autumn,mon,forest,1993,human,False
2315,autumn,wed,forest,1993,robot-spy,False
1876,winter,thu,mountains,1993,robot-spy,False
4213,spring,sun,forest,1993,human,False
213,winter,fri,mountains,1993,robot-spy,True
2461,summer,tue,grasslands,1993,human,False
3505,autumn,wed,forest,1993,human,False
4061,autumn,thu,grasslands,1993,human,False
4840,winter,tue,mountains,1993,human,False
4883,autumn,fri,grasslands,1993,human,False
2591,summer,mon,grasslands,1993,human,False
3116,winter,wed,grasslands,1993,human,False
1345,spring,tue,grasslands,1993,human,False
4878,spring,sat,grasslands,1993,robot-spy,False
2626,summer,sat,forest,1993,human,False
2639,winter,sun,forest,1993,robot-spy,False
3135,winter,sun,hills,1993,human,False
3289,autumn,sat,forest,1993,human,False
1327,summer,tue,mountains,1993,human,False
1464,spring,mon,forest,1993,human,False
4697,winter,mon,mountains,1993,human,False
1643,spring,sat,forest,1993,human,False
498,autumn,tue,hills,1993,human,True
4742,spring,wed,hills,1993,human,False
512,summer,thu,mountains,1993,human,True
2742,summer,wed,mountains,1993,human,False
2789,winter,tue,hills,1993,human,False
3227,autumn,mon,mountains,1993,human,False
1410,spring,wed,forest,1993,human,False
3196,autumn,mon,forest,1993,human,False
79,winter,thu,mountains,1993,human,True
3098,spring,wed,grasslands,1993,human,False
4631,autumn,fri,hills,1993,human,False
554,summer,mon,grasslands,1993,human,True
919,summer,fri,mountains,1993,drone,False
2888,winter,wed,hills,1993,robot-spy,False
814,spring,tue,mountains,1993,human,False
4511,spring,tue,mountains,1993,human,False
2868,autumn,mon,forest,1993,human,False
1166,winter,sun,grasslands,1993,human,False
3500,autumn,mon,grasslands,1993,human,False
4542,winter,mon,grasslands,1993,robot-spy,False
5096,winter,thu,grasslands,1993,human,False
3082,winter,tue,grasslands,1993,robot-spy,False
3470,spring,fri,hills,1993,human,False
2771,spring,thu,grasslands,1993,robot-spy,False
4903,winter,sat,mountains,1993,robot-spy,False
2520,winter,sat,grasslands,1993,human,False
357,autumn,mon,mountains,1993,robot-spy,True
2551,winter,fri,hills,1993,human,False
370,summer,fri,grasslands,1993,human,True
4593,summer,wed,hills,1993,human,False
2088,autumn,thu,grasslands,1994,human,False
40,winter,thu,hills,1994,human,True
4109,summer,tue,forest,1994,human,False
4125,summer,fri,forest,1994,human,False
2056,autumn,mon,forest,1994,human,False
4071,spring,mon,forest,1994,human,False
4906,summer,fri,forest,1994,human,False
668,autumn,tue,grasslands,1994,drone,True
1347,spring,fri,hills,1994,robot-spy,False
32,autumn,tue,grasslands,1994,human,True
4090,summer,thu,forest,1994,robot-spy,False
1313,summer,wed,hills,1994,drone,False
1651,spring,fri,forest,1994,human,False
2003,winter,sun,forest,1994,human,False
4494,summer,tue,grasslands,1994,robot-spy,False
1691,autumn,wed,grasslands,1994,human,False
1698,spring,thu,grasslands,1994,human,False
1626,summer,sat,hills,1994,human,False
130,winter,tue,grasslands,1994,robot-spy,True
4544,summer,fri,hills,1994,human,False
1740,winter,fri,forest,1994,human,False
749,summer,wed,grasslands,1994,human,True
4434,winter,wed,hills,1994,robot-spy,False
99,winter,fri,grasslands,1994,human,True
4287,winter,wed,grasslands,1994,human,False
1825,spring,mon,forest,1994,human,False
2021,spring,wed,grasslands,1994,human,False
1524,autumn,thu,mountains,1994,robot-spy,False
4278,spring,fri,forest,1994,drone,False
4605,summer,sat,grasslands,1994,human,False
4653,spring,fri,forest,1994,drone,False
4677,spring,tue,grasslands,1994,robot-spy,False
995,autumn,fri,forest,1994,human,False
4678,summer,mon,forest,1994,human,False
184,winter,tue,forest,1994,human,True
4212,winter,tue,forest,1994,human,False
1000,autumn,sat,forest,1994,human,False
1450,spring,fri,hills,1994,human,False
1426,autumn,sat,grasslands,1994,human,False
783,winter,sun,hills,1994,robot-spy,True
1181,winter,tue,mountains,1994,human,False
74,summer,tue,mountains,1994,robot-spy,True
2189,winter,tue,hills,1994,human,False
2182,winter,sat,grasslands,1994,human,False
3807,autumn,mon,hills,1994,robot-spy,False
3803,spring,tue,grasslands,1994,robot-spy,False
3229,summer,sun,grasslands,1994,human,False
599,autumn,fri,hills,1994,human,True
